

2015年02月12日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="03113P","9H凱基","508000","7","514180","0.99","1.04","0.99","1.04"," ","0","1.05","30","1.06","30","0.00"
="03114P","5W群益","906000","24","1692050","1.99","2.04","1.58","1.58","-","0.36","1.57","25","1.58","10","0.00"
="03115P","5X群益","2357000","68","1724430","0.64","0.8","0.64","0.71","-","0.07","0.71","6","0.72","10","0.00"
="03116P","NQ元富","33000","3","23540","0.72","0.72","0.71","0.71","-","0.05","0.73","25","0.74","25","0.00"
="03117P","富邦59","0","0","0","--","--","--","--"," ","0","0.27","10","0.28","10","0.00"
="03118P","富邦60","65000","2","24050","0.37","0.37","0.37","0.37","X","0","0.37","10","0.38","10","0.00"
="03119P","富邦61","20000","4","9600","0.48","0.48","0.48","0.48","-","0.01","0.48","30","0.49","30","0.00"
="03120P","富邦62","333000","7","92970","0.26","0.29","0.26","0.29"," ","0","0.28","10","0.29","10","0.00"
="03121P","9J凱基","150000","2","319800","2.14","2.14","2.12","2.12","-","0.05","1.95","30","1.98","30","0.00"
="03122P","9K凱基","0","0","0","--","--","--","--"," ","0","0.57","30","0.59","30","0.00"
="03123P","9L凱基","624000","11","578080","0.92","0.94","0.9","0.94"," ","0","0.93","30","0.94","30","0.00"
="03124P","8S亞東","0","0","0","--","--","--","--"," ","0","1","10","1.01","10","0.00"
="03125P","NX元富","0","0","0","--","--","--","--"," ","0","0.2","25","0.21","25","0.00"
="03126P","NY元富","0","0","0","--","--","--","--"," ","0","0.21","25","0.22","25","0.00"
="03127P","NZ元富","120000","4","87250","0.73","0.73","0.71","0.71","-","0.03","0.7","25","0.71","25","0.00"
="03128P","元富01","583000","10","230320","0.4","0.41","0.38","0.41","-","0.01","0.4","25","0.41","25","0.00"
="03129P","元富02","225000","4","92250","0.4","0.42","0.4","0.41","-","0.03","0.38","30","0.39","40","0.00"
="03130P","元富03","0","0","0","--","--","--","--"," ","0","0.46","25","0.47","25","0.00"
="03131P","元富04","125000","5","11350","0.1","0.1","0.09","0.09"," ","0","0.09","95","0.11","175","0.00"
="03132P","富邦66","154000","5","124820","0.8","0.83","0.8","0.83","+","0.09","0.78","15","0.79","11","0.00"
="03133P","富邦67","119000","9","91300","0.71","0.79","0.71","0.76","+","0.19","0.75","30","0.77","30","0.00"
="03134P","富邦68","360000","4","1233600","3.66","3.66","3.31","3.31","-","0.43","3.28","10","3.29","10","0.00"
="03135P","富邦69","0","0","0","--","--","--","--"," ","0","0.01","277","0.03","60","0.00"
="03136P","N5元大","0","0","0","--","--","--","--"," ","0","0.01","300","0.05","10","0.00"
="03137P","N6元大","691000","5","71100","0.1","0.11","0.1","0.1","-","0.04","0.09","100","0.1","100","0.00"
="03138P","國泰9V","1960000","18","547680","0.3","0.34","0.27","0.28","-","0.09","0.28","526","0.32","20","0.00"
="03139P","8F永豐","0","0","0","--","--","--","--"," ","0","0.15","499","0.16","10","0.00"
="03140P","8G永豐","10000","10","100","0.01","0.01","0.01","0.01","X","0","--","0","0.01","40","0.00"
="03141P","6G群益","0","0","0","--","--","--","--"," ","0","0.03","25","0.05","30","0.00"
="03142P","6H群益","80000","1","35200","0.44","0.44","0.44","0.44"," ","0","0.44","25","0.45","10","0.00"
="03143P","9R凱基","0","0","0","--","--","--","--"," ","0","0.2","30","0.23","30","0.00"
="03144P","9A亞東","0","0","0","--","--","--","--"," ","0","--","0","0.07","206","0.00"
="03145P","X4元大","250000","7","31550","0.15","0.15","0.12","0.13","-","0.03","0.11","100","0.12","100","0.00"
="03146P","X5元大","0","0","0","--","--","--","--"," ","0","1.19","100","1.22","100","0.00"
="03147P","6R群益","10000","1","2300","0.23","0.23","0.23","0.23","X","0","0.22","25","0.23","10","0.00"
="03148P","6S群益","0","0","0","--","--","--","--"," ","0","0.03","25","0.04","10","0.00"
="03149P","元富09","0","0","0","--","--","--","--"," ","0","0.26","25","0.27","25","0.00"
="03150B","元熊A1","190000","8","212900","1.12","1.13","1.11","1.11"," ","0","1.1","495","1.11","495","9496.31"
="03150P","康和JH","0","0","0","--","--","--","--"," ","0","0.02","10","0.05","50","0.00"
="03151P","8R永豐","0","0","0","--","--","--","--"," ","0","0.06","499","0.07","10","0.00"
="03152B","元熊B1","1000","1","1420","1.42","1.42","1.42","1.42","X","0","1.4","495","1.41","495","9496.31"
="03152P","8S永豐","0","0","0","--","--","--","--"," ","0","0.34","499","0.35","200","0.00"
="03153P","日盛NL","0","0","0","--","--","--","--"," ","0","0.14","495","0.15","200","323.5"
="03154P","統一2W","666000","11","124340","0.18","0.19","0.18","0.19","-","0.01","0.18","20","0.19","40","0.00"
="03155P","統一2Y","1528000","24","101960","0.06","0.07","0.06","0.07","-","0.01","0.06","20","0.07","149","0.00"
="03156B","元熊08","0","0","0","--","--","--","--"," ","0","1.91","495","1.92","495","1097.77"
="03156P","J9兆豐","0","0","0","--","--","--","--"," ","0","0.38","10","0.39","30","0.00"
="03157B","元熊C1","720000","12","854850","1.17","1.2","1.17","1.18","-","0.01","1.17","515","1.18","475","9496.31"
="03157P","L4兆豐","190000","3","5700","0.03","0.03","0.03","0.03"," ","0","0.03","10","0.04","80","0.00"
="03158B","兆熊1V","0","0","0","--","--","--","--"," ","0","--","0","--","0","9496.31"
="03158P","L5兆豐","0","0","0","--","--","--","--"," ","0","0.24","10","0.25","30","0.00"
="03159B","兆熊6V","9000","1","8100","0.9","0.9","0.9","0.9","X","0","--","0","--","0","9496.31"
="03159P","L6兆豐","490000","6","129300","0.26","0.27","0.26","0.27","X","0","0.26","10","0.27","30","0.00"
="03160P","M9兆豐","0","0","0","--","--","--","--"," ","0","0.14","10","0.15","10","0.00"
="03161P","富邦73","67000","2","4120","0.06","0.07","0.06","0.07","+","0.01","0.07","10","0.2","180","0.00"
="03162B","凱熊38","2043000","42","1365780","0.64","0.69","0.63","0.67","+","0.01","0.67","70","0.68","90","9496.31"
="03162P","富邦74","40000","2","15000","0.36","0.38","0.36","0.38","+","0.03","0.38","10","0.39","10","0.00"
="03163P","中信BB","0","0","0","--","--","--","--"," ","0","0.02","499","0.03","10","0.00"
="03164B","兆熊JM","100000","1","79000","0.79","0.79","0.79","0.79","+","0.01","0.75","15","0.79","200","9496.31"
="03164P","9T凱基","500000","19","82760","0.16","0.17","0.16","0.16"," ","0","0.16","86","0.18","110","0.00"
="03165B","元熊E1","0","0","0","--","--","--","--"," ","0","1.25","595","1.26","495","9496.31"
="03165P","9U凱基","0","0","0","--","--","--","--"," ","0","0.05","220","0.07","5","0.00"
="03166B","元熊AT","48000","1","138240","2.88","2.88","2.88","2.88","+","0.04","2.89","495","2.91","495","69"
="03166P","元富19","0","0","0","--","--","--","--"," ","0","0.27","25","0.28","25","0.00"
="03167B","兆熊G7","73000","3","49140","0.69","0.69","0.67","0.67"," ","0","0.67","15","0.69","10","9496.31"
="03167P","元富20","0","0","0","--","--","--","--"," ","0","0.01","25","0.05","25","0.00"
="03168B","元熊F1","8000","2","13920","1.74","1.74","1.74","1.74"," ","0","1.73","505","1.74","495","9496.31"
="03168P","國票HP","10000","1","2500","0.25","0.25","0.25","0.25","X","0","0.26","25","0.27","25","0.00"
="03169B","元熊G1","18000","12","73800","4.11","4.12","4.07","4.09","+","0.01","4.07","495","4.08","495","9496.31"
="03169P","統一3D","0","0","0","--","--","--","--"," ","0","0.34","10","0.35","25","0.00"
="03170P","富邦80","43000","1","23220","0.54","0.54","0.54","0.54"," ","0","0.55","30","0.56","30","0.00"
="03171P","富邦81","0","0","0","--","--","--","--"," ","0","0.29","10","0.3","10","0.00"
="03172P","富邦82","16000","2","17600","1.09","1.11","1.09","1.11","X","0","1.07","50","1.08","50","0.00"
="03173P","N4兆豐","320000","10","179210","0.56","0.57","0.55","0.56","+","0.01","0.55","10","0.56","50","0.00"
="03174P","N5兆豐","1435000","36","1095040","0.76","0.79","0.75","0.77"," ","0","0.75","10","0.76","30","0.00"
="03175P","N6兆豐","254000","4","32980","0.14","0.14","0.12","0.12","-","0.02","0.12","10","0.14","21","0.00"
="03176P","9J永豐","734000","14","31460","0.05","0.05","0.04","0.04"," ","0","0.04","366","0.05","1,359","0.00"
="03177P","7B群益","0","0","0","--","--","--","--"," ","0","0.07","25","0.08","10","0.00"
="03178P","Y8元大","0","0","0","--","--","--","--"," ","0","0.05","100","0.07","100","0.00"
="03179P","Y9元大","130000","3","19500","0.15","0.15","0.15","0.15","-","0.02","0.14","100","0.15","100","0.00"
="03180P","Z1元大","0","0","0","--","--","--","--"," ","0","0.38","495","0.39","495","0.00"
="03181P","Z2元大","0","0","0","--","--","--","--"," ","0","0.62","495","0.63","495","0.00"
="03182P","Z3元大","610000","4","83400","0.14","0.14","0.13","0.13"," ","0","0.13","499","0.14","745","0.00"
="03183P","Z4元大","10000","1","3900","0.39","0.39","0.39","0.39","-","0.02","0.39","100","0.4","100","0.00"
="03184P","Z5元大","873000","13","969960","1.21","1.29","1.05","1.05","-","0.23","1.04","100","1.05","100","0.00"
="03185P","Z6元大","0","0","0","--","--","--","--"," ","0","0.32","100","0.33","100","0.00"
="03186P","Z7元大","0","0","0","--","--","--","--"," ","0","0.02","100","0.03","100","0.00"
="03187P","國泰9Z","52000","4","15770","0.3","0.31","0.29","0.29","-","0.03","0.29","499","0.3","400","0.00"
="03188P","中信BH","0","0","0","--","--","--","--"," ","0","0.03","30","0.04","10","0.00"
="03189P","富邦96","109000","2","4360","0.04","0.04","0.04","0.04","X","0","0.03","50","0.04","10","0.00"
="03190P","富邦97","0","0","0","--","--","--","--"," ","0","0.01","1,997","0.02","149","0.00"
="03191P","日盛NR","0","0","0","--","--","--","--"," ","0","0.09","25","0.1","25","53.3"
="03192P","日盛NS","0","0","0","--","--","--","--"," ","0","0.09","495","0.1","485","147.5"
="03193P","22元大","210000","3","54500","0.25","0.26","0.25","0.26","X","0","0.24","100","0.4","30","0.00"
="03194P","23元大","0","0","0","--","--","--","--"," ","0","0.25","100","0.26","100","0.00"
="03195P","24元大","0","0","0","--","--","--","--"," ","0","0.05","100","0.06","200","0.00"
="03196P","25元大","54000","2","21020","0.38","0.39","0.38","0.39","-","0.03","0.37","100","0.38","100","0.00"
="03197P","26元大","0","0","0","--","--","--","--"," ","0","0.56","100","0.57","100","0.00"
="03198P","27元大","45000","1","19800","0.44","0.44","0.44","0.44"," ","0","0.42","100","0.43","10","0.00"
="03199P","28元大","2080000","14","95500","0.05","0.05","0.04","0.04"," ","0","0.04","100","0.05","100","0.00"
="03200P","29元大","0","0","0","--","--","--","--"," ","0","0.13","100","0.14","100","0.00"
="03201P","30元大","200000","4","28000","0.14","0.14","0.14","0.14","-","0.02","0.14","110","0.15","100","0.00"
="03202P","31元大","270000","3","67500","0.25","0.25","0.25","0.25"," ","0","0.02","1","0.27","100","0.00"
="03203P","國泰A7","0","0","0","--","--","--","--"," ","0","0.84","499","0.87","210","0.00"
="03204P","國泰A8","0","0","0","--","--","--","--"," ","0","0.11","499","0.12","100","0.00"
="03205P","01凱基","0","0","0","--","--","--","--"," ","0","0.06","30","0.07","30","0.00"
="03206P","02凱基","0","0","0","--","--","--","--"," ","0","0.26","30","0.27","30","0.00"
="03207P","元富35","0","0","0","--","--","--","--"," ","0","0.07","25","0.08","25","0.00"
="03208P","元富36","0","0","0","--","--","--","--"," ","0","0.04","25","0.05","25","0.00"
="03209P","康和JJ","0","0","0","--","--","--","--"," ","0","0.04","10","0.08","48","0.00"
="03210P","9R永豐","549000","9","33940","0.07","0.07","0.06","0.06"," ","0","0.06","190","0.07","520","0.00"
="03211P","7H群益","0","0","0","--","--","--","--"," ","0","0.04","499","0.05","499","0.00"
="03212P","7I群益","150000","1","12000","0.08","0.08","0.08","0.08","X","0","0.08","349","0.09","499","0.00"
="03213P","7J群益","0","0","0","--","--","--","--"," ","0","0.15","499","0.16","499","0.00"
="03214P","7K群益","108000","3","31400","0.3","0.3","0.29","0.29"," ","0","0.28","499","0.29","499","0.00"
="03215P","7M群益","0","0","0","--","--","--","--"," ","0","--","0","0.01","120","0.00"
="03216P","中信BN","0","0","0","--","--","--","--"," ","0","0.41","30","0.42","30","0.00"
="03217P","27凱基","0","0","0","--","--","--","--"," ","0","0.15","30","0.17","30","0.00"
="03218P","9J亞東","0","0","0","--","--","--","--"," ","0","0.02","20","0.12","10","0.00"
="03219P","9K亞東","0","0","0","--","--","--","--"," ","0","0.13","10","0.23","10","0.00"
="03220P","元富47","300000","1","45000","0.15","0.15","0.15","0.15","-","0.02","0.15","25","0.16","25","0.00"
="03221P","元富48","4000","1","2440","0.61","0.61","0.61","0.61","-","0.03","0.61","25","0.62","25","0.00"
="03222P","元富49","32000","1","29440","0.92","0.92","0.92","0.92","-","0.02","0.83","25","0.84","25","0.00"
="03223P","元富50","0","0","0","--","--","--","--"," ","0","0.03","25","0.04","10","0.00"
="03224P","元富51","0","0","0","--","--","--","--"," ","0","0.21","25","0.23","10","0.00"
="03225P","元富52","361000","6","75720","0.21","0.22","0.2","0.2","-","0.01","0.2","25","0.21","25","0.00"
="03226P","7S群益","0","0","0","--","--","--","--"," ","0","0.33","25","0.34","10","0.00"
="03227P","7T群益","0","0","0","--","--","--","--"," ","0","0.01","25","0.04","225","0.00"
="03228P","7U群益","348000","3","292270","0.84","0.84","0.83","0.83"," ","0","0.83","25","0.84","10","0.00"
="03229P","國票HW","1460000","13","360510","0.27","0.27","0.24","0.25","-","0.02","0.25","25","0.26","25","0.00"
="03230P","兆豐AQ","140000","14","5800","0.03","0.05","0.03","0.03","-","0.02","0.03","60","0.04","10","0.00"
="03231P","兆豐AR","0","0","0","--","--","--","--"," ","0","0.08","10","0.09","13","0.00"
="03232P","兆豐AS","160000","4","171500","1.04","1.08","1.04","1.07","-","0.06","1.05","10","1.06","30","0.00"
="03233P","兆豐AV","0","0","0","--","--","--","--"," ","0","0.28","10","0.29","30","0.00"
="03234P","50元大","153000","5","99360","0.65","0.67","0.64","0.65","-","0.02","0.65","100","0.66","102","0.00"
="03235P","51元大","0","0","0","--","--","--","--"," ","0","0.01","100","0.02","100","0.00"
="03236P","日盛XA","0","0","0","--","--","--","--"," ","0","0.54","25","0.55","25","458"
="03237P","日盛XB","0","0","0","--","--","--","--"," ","0","0.62","25","0.63","25","86.2"
="03238P","元富60","0","0","0","--","--","--","--"," ","0","0.21","25","0.22","25","0.00"
="03239P","元富61","0","0","0","--","--","--","--"," ","0","0.11","25","0.12","20","0.00"
="03240P","元富62","0","0","0","--","--","--","--"," ","0","0.02","25","0.05","25","0.00"
="03241P","國票HX","0","0","0","--","--","--","--"," ","0","0.05","25","0.06","10","0.00"
="03242P","C7永豐","0","0","0","--","--","--","--"," ","0","0.15","599","0.16","450","0.00"
="03243P","C8永豐","0","0","0","--","--","--","--"," ","0","0.32","499","0.33","10","0.00"
="03244P","AZ第一","0","0","0","--","--","--","--"," ","0","0.2","10","0.21","10","0.00"
="03245P","富邦B8","230000","2","54900","0.23","0.24","0.23","0.24","-","0.01","0.22","10","0.23","10","0.00"
="03246P","富邦B9","50000","4","6000","0.12","0.12","0.12","0.12"," ","0","0.12","50","0.13","50","0.00"
="03247P","富邦C1","50000","2","4000","0.08","0.08","0.08","0.08","X","0","0.08","46","0.1","150","0.00"
="03248P","富邦C2","100000","3","25000","0.25","0.25","0.25","0.25","+","0.01","0.24","50","0.25","50","0.00"
="03249P","28凱基","590000","5","827600","1.45","1.49","1.31","1.31","-","0.21","1.3","30","1.31","30","0.00"
="03250P","29凱基","13000","1","11830","0.91","0.91","0.91","0.91","+","0.01","0.75","30","0.76","30","0.00"
="03251P","9Q亞東","0","0","0","--","--","--","--"," ","0","0.05","10","0.1","10","0.00"
="03252P","63元大","0","0","0","--","--","--","--"," ","0","0.03","99","0.07","1,135","0.00"
="03253P","64元大","0","0","0","--","--","--","--"," ","0","0.01","150","0.05","25","0.00"
="03254P","65元大","164000","6","136660","0.83","0.85","0.83","0.83","X","0","0.81","100","0.83","100","0.00"
="03255P","66元大","0","0","0","--","--","--","--"," ","0","0.03","10","0.04","10","0.00"
="03256P","國泰C3","0","0","0","--","--","--","--"," ","0","0.28","499","0.29","150","0.00"
="03257P","元富68","32000","3","15140","0.48","0.48","0.46","0.46","-","0.06","0.46","25","0.47","25","0.00"
="03258P","元富69","5000","1","800","0.16","0.16","0.16","0.16","X","0","0.15","25","0.16","25","0.00"
="03259P","康和JL","0","0","0","--","--","--","--"," ","0","--","0","0.05","169","0.00"
="03260P","45凱基","622000","8","149280","0.24","0.24","0.24","0.24","X","0","0.23","30","0.25","30","0.00"
="03261P","9W亞東","0","0","0","--","--","--","--"," ","0","0.24","10","0.25","10","0.00"
="03262P","兆豐BF","673000","27","584680","0.82","0.9","0.82","0.9","+","0.01","0.88","10","0.89","30","0.00"
="03263P","兆豐BQ","0","0","0","--","--","--","--"," ","0","0.1","10","0.11","10","0.00"
="03264P","95元大","422000","15","164280","0.42","0.42","0.38","0.39","-","0.05","0.39","80","0.4","100","0.00"
="03266P","97元大","20000","2","14020","0.69","0.71","0.69","0.71","X","0","0.65","100","0.67","100","0.00"
="03267P","統一3P","20000","1","2600","0.13","0.13","0.13","0.13","-","0.03","0.13","20","0.14","20","0.00"
="03268P","富邦D3","0","0","0","--","--","--","--"," ","0","0.15","10","0.16","10","0.00"
="03269P","中信BR","165000","5","49700","0.3","0.31","0.3","0.3","-","0.02","0.29","30","0.3","30","0.00"
="03270P","統一3W","92000","3","23000","0.25","0.25","0.25","0.25","X","0","0.25","20","0.26","20","0.00"
="03271P","富邦D7","210000","3","10600","0.05","0.06","0.05","0.06"," ","0","0.04","100","0.06","25","0.00"
="03272P","元富70","2000","1","800","0.4","0.4","0.4","0.4","X","0","0.4","25","0.41","25","0.00"
="03273P","49凱基","0","0","0","--","--","--","--"," ","0","0.17","30","0.18","30","0.00"
="03274P","8D群益","0","0","0","--","--","--","--"," ","0","0.54","25","0.55","10","0.00"
="03275P","8M群益","0","0","0","--","--","--","--"," ","0","0.64","25","0.65","10","0.00"
="03276P","8N群益","30000","1","11700","0.39","0.39","0.39","0.39","-","0.02","0.4","25","0.41","10","0.00"
="03277P","8P群益","9000","1","1890","0.21","0.21","0.21","0.21","X","0","0.2","25","0.21","10","0.00"
="03278P","8Q群益","200000","1","18000","0.09","0.09","0.09","0.09"," ","0","0.07","25","0.08","10","0.00"
="03279C","元牛91","0","0","0","--","--","--","--"," ","0","2.41","495","2.42","495","9496.31"
="03279P","元大15","271000","10","26920","0.11","0.12","0.09","0.09","-","0.02","0.09","90","0.1","100","0.00"
="03280C","元牛BF","20000","2","310000","15.5","15.5","15.5","15.5","-","0.1","15.5","100","15.7","50","30.68"
="03280P","元大16","631000","9","164070","0.26","0.27","0.26","0.27","+","0.01","0.26","130","0.27","558","0.00"
="03281P","日盛XF","0","0","0","--","--","--","--"," ","0","0.18","499","0.19","399","288"
="03282P","中信BX","0","0","0","--","--","--","--"," ","0","--","0","0.02","60","0.00"
="03283C","元牛BG","4000","2","15000","3.75","3.75","3.75","3.75","X","0","3.74","100","3.77","50","17.11"
="03283P","56凱基","40000","2","14000","0.35","0.35","0.35","0.35","X","0","0.34","30","0.35","30","0.00"
="03284C","元牛A1","623000","11","1184300","1.92","1.92","1.9","1.9","-","0.01","1.91","495","1.92","895","9496.31"
