

2015年02月12日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="03035X","元展32","0","0","0","--","--","--","--"," ","0","8.35","30","8.4","37","32"
="03036P","6J凱基","57000","3","31260","0.54","0.57","0.54","0.57","-","0.02","0.56","30","0.58","30","0.00"
="03036X","元展33","1000","1","12800","12.8","12.8","12.8","12.8","X","0","13.2","60","13.3","53","22.7"
="03037P","D6元大","70000","1","12600","0.18","0.18","0.18","0.18","X","0","0.18","100","0.19","100","0.00"
="03037X","元展34","100000","13","960500","9.7","9.7","9.6","9.6","+","0.3","9.55","30","9.6","54","22.4"
="03038P","D8元大","152000","7","84960","0.56","0.58","0.55","0.58","-","0.06","0.56","110","0.6","100","0.00"
="03038X","元展35","96000","7","983950","9.95","10.4","9.95","10.4","+","0.6","10.3","50","10.4","32","84.5"
="03039P","D9元大","630000","3","106100","0.16","0.17","0.16","0.17","+","0.02","0.14","100","0.15","100","0.00"
="03039X","元展36","1000","1","6600","6.6","6.6","6.6","6.6","-","0.35","6.6","43","6.7","32","323.5"
="03040P","E1元大","257000","13","79090","0.31","0.33","0.3","0.3","-","0.06","0.31","100","0.32","100","0.00"
="03040X","元展37","0","0","0","--","--","--","--"," ","0","7","102","7.05","64","15.65"
="03041P","6R永豐","260000","5","43680","0.17","0.19","0.16","0.19"," ","0","0.18","499","0.19","111","0.00"
="03041X","元展38","51000","4","395400","7.8","7.8","7.65","7.65","+","0.05","7.65","84","7.8","76","202"
="03042P","6S永豐","0","0","0","--","--","--","--"," ","0","0.07","499","0.08","300","0.00"
="03042X","元展39","14000","3","128000","9","9.2","9","9.2","X","0","9.2","94","9.3","69","41.9"
="03043P","6T永豐","49000","6","59770","1.24","1.3","1.16","1.2","-","0.07","1.08","499","1.1","111","0.00"
="03043X","元展40","1000","1","8900","8.9","8.9","8.9","8.9","X","0","9.05","72","9.1","40","53.5"
="03044P","6U永豐","70000","2","26300","0.41","0.41","0.37","0.37","-","0.13","0.37","499","0.38","10","0.00"
="03044X","元展41","37000","2","323750","8.75","8.75","8.75","8.75","-","0.25","8.85","22","8.9","20","22.7"
="03045P","3X群益","0","0","0","--","--","--","--"," ","0","0.03","25","0.04","10","0.00"
="03045X","元展42","3000","1","27450","9.15","9.15","9.15","9.15","X","0","9.25","82","9.3","77","29.25"
="03046P","3Y群益","0","0","0","--","--","--","--"," ","0","0.25","25","0.26","10","0.00"
="03046X","元展43","0","0","0","--","--","--","--"," ","0","8","48","8.1","34","78.5"
="03047P","LB元富","0","0","0","--","--","--","--"," ","0","0.47","25","0.48","25","0.00"
="03047X","元展44","0","0","0","--","--","--","--"," ","0","2.92","45","2.93","46","9.69"
="03048P","LU元富","0","0","0","--","--","--","--"," ","0","0.25","25","0.26","25","0.00"
="03048X","元展45","3000","3","13110","4.32","4.41","4.32","4.38","+","0.2","4.37","1","4.38","30","22.3"
="03049P","LV元富","0","0","0","--","--","--","--"," ","0","0.1","25","0.11","25","0.00"
="03049X","元展46","37000","4","126060","3.46","3.46","3.36","3.36","-","0.1","3.45","70","3.46","37","56.2"
="03050P","富邦40","221000","5","77940","0.34","0.38","0.34","0.38","-","0.03","0.36","50","0.37","50","0.00"
="03050X","元展47","5000","1","13100","2.62","2.62","2.62","2.62"," ","0","2.66","46","2.67","47","46.5"
="03051P","富邦41","5000","1","2100","0.42","0.42","0.42","0.42","+","0.04","0.34","50","0.35","50","0.00"
="03051X","元展48","0","0","0","--","--","--","--"," ","0","8.85","31","9","36","53.3"
="03052P","富邦42","140000","2","1400","0.01","0.01","0.01","0.01"," ","0","0.01","14","0.05","28","0.00"
="03052X","元展49","3000","2","31900","10.7","10.7","10.5","10.5","-","0.3","10.7","100","10.8","10","77"
="03053P","B9兆豐","0","0","0","--","--","--","--"," ","0","--","0","0.02","10","0.00"
="03053X","元展50","0","0","0","--","--","--","--"," ","0","5.6","51","5.7","55","107"
="03054P","C1兆豐","1466000","115","211020","0.14","0.16","0.14","0.15","+","0.01","0.13","286","0.14","10","0.00"
="03054X","元展51","77000","5","785800","10.4","10.4","10.2","10.2","-","0.3","10.2","34","10.3","48","76"
="03055P","C2兆豐","0","0","0","--","--","--","--"," ","0","--","0","0.03","10","0.00"
="03056P","F8兆豐","34000","5","29430","0.91","0.91","0.85","0.85","-","0.08","0.85","10","0.86","10","0.00"
="03057P","F9兆豐","362000","23","25090","0.07","0.07","0.06","0.07","X","0","0.07","87","--","0","0.00"
="03058P","G7兆豐","0","0","0","--","--","--","--"," ","0","0.16","10","0.17","26","0.00"
="03059P","統一2G","75000","3","41150","0.55","0.55","0.54","0.55","X","0","0.57","10","0.59","10","0.00"
="03060P","統一2H","0","0","0","--","--","--","--"," ","0","0.01","10","0.05","30","0.00"
="03061P","統一2J","203000","21","135160","0.63","0.7","0.63","0.66","X","0","0.66","48","0.67","68","0.00"
="03062P","7D凱基","0","0","0","--","--","--","--"," ","0","0.01","30","0.02","30","0.00"
="03063P","7E凱基","0","0","0","--","--","--","--"," ","0","0.03","180","0.04","30","0.00"
="03064P","7F凱基","0","0","0","--","--","--","--"," ","0","0.03","30","0.04","30","0.00"
="03065P","7G凱基","457000","15","301690","0.67","0.69","0.63","0.65","-","0.06","0.65","30","0.66","30","0.00"
="03066P","7H凱基","322000","3","103040","0.32","0.32","0.32","0.32"," ","0","0.32","30","0.34","1","0.00"
="03067P","日盛MP","1086000","25","420530","0.37","0.4","0.37","0.39"," ","0","0.38","25","0.39","25","44.8"
="03068P","I1元大","0","0","0","--","--","--","--"," ","0","0.08","100","0.1","100","0.00"
="03069P","I2元大","40000","2","10300","0.26","0.26","0.25","0.25","-","0.01","0.25","100","0.27","100","0.00"
="03070P","MM元富","116000","4","88490","0.76","0.78","0.76","0.77","-","0.03","0.77","16","0.78","25","0.00"
="03071P","MN元富","0","0","0","--","--","--","--"," ","0","0.27","25","0.28","25","0.00"
="03072P","MP元富","0","0","0","--","--","--","--"," ","0","0.06","25","0.07","25","0.00"
="03073P","MQ元富","100000","2","3500","0.04","0.04","0.03","0.03"," ","0","0.02","149","0.03","35","0.00"
="03074P","MR元富","76000","9","51040","0.68","0.68","0.66","0.68","+","0.01","0.67","25","0.68","25","0.00"
="03075P","MS元富","0","0","0","--","--","--","--"," ","0","0.22","25","0.23","12","0.00"
="03076P","康和HZ","10000","1","4000","0.4","0.4","0.4","0.4"," ","0","0.41","10","0.42","10","0.00"
="03077P","國票GY","0","0","0","--","--","--","--"," ","0","0.49","998","0.5","25","0.00"
="03078P","國票HD","0","0","0","--","--","--","--"," ","0","0.13","998","0.14","25","0.00"
="03079P","4P群益","99000","1","12870","0.13","0.13","0.13","0.13","X","0","0.14","25","0.15","10","0.00"
="03080P","4R群益","51000","4","103980","2.03","2.08","2.03","2.08","+","0.02","2.03","25","2.08","10","0.00"
="03081P","4U群益","300000","6","188020","0.62","0.64","0.62","0.64","+","0.01","0.63","25","0.64","8","0.00"
="03082P","4V群益","224000","6","166510","0.74","0.77","0.74","0.77","+","0.04","0.79","25","0.81","10","0.00"
="03083P","玉山6Z","0","0","0","--","--","--","--"," ","0","1.22","10","1.24","10","0.00"
="03084P","中信AL","0","0","0","--","--","--","--"," ","0","0.14","30","0.15","30","0.00"
="03085P","NF元富","0","0","0","--","--","--","--"," ","0","0.9","25","0.91","10","0.00"
="03086P","7H永豐","240000","6","79200","0.33","0.33","0.33","0.33"," ","0","0.33","499","0.34","432","0.00"
="03087P","5G群益","0","0","0","--","--","--","--"," ","0","0.1","25","0.11","10","0.00"
="03088P","5H群益","0","0","0","--","--","--","--"," ","0","0.12","25","0.13","10","0.00"
="03089P","K2元大","21000","1","7560","0.36","0.36","0.36","0.36","-","0.04","0.37","100","0.38","100","0.00"
="03090P","K3元大","1859000","29","1772140","1","1.06","0.38","0.86","-","0.17","0.86","100","0.87","100","0.00"
="03091P","K4元大","1091000","7","14130","0.02","0.03","0.01","0.03","-","0.01","0.01","200","0.03","168","0.00"
="03092P","8D亞東","0","0","0","--","--","--","--"," ","0","0.01","150","0.04","3","0.00"
="03093P","8E亞東","0","0","0","--","--","--","--"," ","0","0.04","10","0.14","10","0.00"
="03094P","統一2N","45000","2","5400","0.12","0.12","0.12","0.12","-","0.01","0.11","40","0.12","10","0.00"
="03095P","日盛MV","0","0","0","--","--","--","--"," ","0","0.61","499","0.62","299","76.3"
="03096P","J8兆豐","0","0","0","--","--","--","--"," ","0","0.2","10","0.21","30","0.00"
="03097P","國票HG","0","0","0","--","--","--","--"," ","0","2.25","998","2.33","10","0.00"
="03098P","7Q永豐","2000","2","120","0.06","0.06","0.06","0.06","X","0","0.06","298","0.07","301","0.00"
="03099P","7R永豐","0","0","0","--","--","--","--"," ","0","0.34","499","0.35","232","0.00"
="03100P","5N群益","160000","2","49600","0.31","0.31","0.31","0.31","-","0.09","0.29","25","0.3","10","0.00"
="03101P","5P群益","0","0","0","--","--","--","--"," ","0","1.58","25","1.67","10","0.00"
="03102P","5Q群益","0","0","0","--","--","--","--"," ","0","0.63","25","--","0","0.00"
="03103P","統一2P","360000","8","174300","0.48","0.5","0.48","0.48","-","0.08","0.48","68","0.49","68","0.00"
="03104P","富邦55","131000","3","63480","0.48","0.49","0.48","0.49","+","0.02","0.49","10","0.5","10","0.00"
="03105P","富邦56","0","0","0","--","--","--","--"," ","0","0.41","10","0.42","10","0.00"
="03106P","L7元大","0","0","0","--","--","--","--"," ","0","--","0","0.1","29","0.00"
="03107P","L8元大","601000","29","347350","0.58","0.6","0.55","0.59"," ","0","0.58","150","0.6","25","0.00"
="03108P","L9元大","365000","9","136700","0.41","0.41","0.34","0.34","-","0.07","0.33","100","0.34","100","0.00"
="03109P","M7元大","150000","6","36100","0.25","0.25","0.21","0.21","-","0.01","0.19","100","0.27","100","0.00"
="03110P","M8元大","0","0","0","--","--","--","--"," ","0","0.49","100","0.51","100","0.00"
="03111P","M9元大","0","0","0","--","--","--","--"," ","0","0.12","100","0.14","140","0.00"
="03112P","N1元大","0","0","0","--","--","--","--"," ","0","1.11","100","1.13","100","0.00"
